Country,Subtopic link,Status link,Status justification,iso_a3_eh
Indonesia,Exemption from childhood vaccination requirement,Medical and non-medical exemptions,Legislation specifies that medical and non-medical exemptions are allowed in this country. ,IDN
Indonesia,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,IDN
Indonesia,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",IDN
Iran (Islamic Republic of),Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,IRN
Iran (Islamic Republic of),Enforcement of childhood vaccination requirement,2 or more enforcement mechanisms,"In Iran, children will face social exclusion from schools and nurseries, and parents may be faced with a fine of between 200,000 and 1,000,000 Rials, and/or a prison sentence of up to one month. ",IRN
Iran (Islamic Republic of),Exemption from childhood vaccination requirement,No exemptions specified,Legislation does not specify vaccination exemptions.,IRN
Iran (Islamic Republic of),Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. Those that fail to comply with this requirement may be jailed for a period between 1-12 months. ,IRN
Iran (Islamic Republic of),Enforcement of emergency vaccination,Legal sanctions,"In Iran, individuals that fail to comply with emergency vaccination will be faced with a fine of between 200,000 and 1,000,000 Rials, and/or a prison sentence of up to one month. ",IRN
Iraq,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,IRQ
Iraq,Enforcement of childhood vaccination requirement,Social exclusion,"In Iraq, children must have vaccinations to enter schools or nurseries, though they will be provided upon entry if the pupil is not already vaccinated. Additionally, some occupations require vaccination as a precondition for employment. ",IRQ
Iraq,Exemption from childhood vaccination requirement,No exemptions specified,Legislation does not specify vaccination exemptions.,IRQ
Iraq,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. Those that fail to comply with this requirement may be jailed for a period between 1-12 months. ,IRQ
Iraq,Enforcement of emergency vaccination,Legal sanctions,Failure to receive an emergency vaccination is punishable by a jail sentence between 1-12 months. ,IRQ
Ireland,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,IRL
Ireland,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,IRL
Ireland,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,IRL
Ireland,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,IRL
Ireland,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",IRL
Israel,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,ISR
Israel,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,ISR
Israel,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,ISR
Israel,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,ISR
Israel,Enforcement of emergency vaccination,Legal sanctions,Individuals that fail to receive an emergency vaccination will be fined 5 pounds (currency no longer used in Israel) or 1 month of jail time. ,ISR
Italy,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,ITA
Italy,Enforcement of childhood vaccination requirement,2 or more enforcement mechanisms,"In Italy, both Criminalization (Fine between 100-500 Euros) and Social Exclusion (School Exclusion) are used as enforcement mechanisms. ",ITA
